Loan ID,Loan Title,Loan Purpose,Amount Requested,Interest Rate,APR,Loan Length,Amount Funded,Number of Lenders,Expiration Date,Status,Application Date,CREDIT Rating,Home Ownership,Monthly Income,Debt-To-Income Ratio,FICO Range,Earliest CREDIT Line,Open CREDIT Lines,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Accounts Now Delinquent,Delinquent Amount,Delinquencies (Last 2 yrs),Months Since Last Delinquency,Public Records On File,Months Since Last Record,Loan Description,Location,Education,Employment Length
"974392","AmexCaptChasAmaz","credit_card","20000.00","10.65%","13.49%","36 months","12575.00","108","2011-10-16","In-Funding","2011-10-02","B2","MORTGAGE","10833.33","12.5%","714-749","2000-12-28","13","32","43183","59.3%","0","0","0","0","","0","","  Borrower added on 10/02/11 > Thank you for reviewing this loan.  I am very responsible person, have good stable job.  The purpose of this loan is to pay-off credit card balances, save $ on the interests, payoff debt within 36 months with fixed monthly cost.<br/>","SAN JOSE, CA","","5 years"
"974466","vending loan","debt_consolidation","4200.00","11.71%","14.57%","36 months","3100.00","75","2011-10-16","In-Funding","2011-10-02","B3","OWN","3000.00","24.53%","679-713","2001-04-27","9","11","7406","77.8%","0","0","0","0","","0","","  Borrower added on 10/02/11 > pay off credit card<br/> Borrower added on 10/02/11 > own vending co. for twelve years always pay bills on time<br/> Borrower added on 10/02/11 > own vending co. for twelve years always pay bills on time<br/> Borrower added on 10/02/11 > trying to get little more operating capital will pay back ever dime of loan<br/>null","apopka, FL","","10+ years"
"972576","Credit card consolidation","credit_card","35000.00","22.35%","24.88%","60 months","10250.00","46","2011-10-16","In-Funding","2011-10-02","F5","MORTGAGE","28333.33","3.6%","660-678","1984-01-25","15","62","21567","55.3%","0","0","0","4","22","0","","","tinley park, IL","","1 year"
"974557","Wedding Loan","wedding","10000.00","6.03%","6.78%","36 months","6825.00","67","2011-10-16","In-Funding","2011-10-02","A1","RENT","3000.00","16.37%","750-779","2002-11-18","8","19","2173","10.7%","0","0","0","0","","0","","  Borrower added on 10/03/11 > Hi, I would like to start by thanking everyone who funds my loan. Being a prior investor on this site, I know the importance of paying back what I owe. I have excellent credit and I am very mindful with money. My monthly bills are as followed (please note these amounts are all half of the total since they are my portion):<br/>Rent: 640<br/>Student Loans: 101<br/>Car Payment: 146<br/>Insurance: 65<br/>Cable, Internet, Phone: 145<br/>Gym: 60<br/>Parking Spot: 50<br/>Total: 1,147<br/>My fixed monthly expenses leave me with about 1,000 to spend every month on food, entertainment, electric bill (about $40), savings etc. I do well budgetting, but need this cash to help with deposits and other sudden expenses involving the wedding.<br/>Thank you for your support<br/>","Allston, MA","","5 years"
"967294","Major Purchase Loan","major_purchase","26375.00","10.65%","12.90%","60 months","22700.00","50","2011-10-17","In-Funding","2011-10-03","B2","OWN","4000.00","28.32%","780+","1995-03-01","10","37","443","1.3%","0","0","0","0","48","0","","  Borrower added on 10/03/11 > I plan to use the loaned funds for cash purchase of a foreclosed property.  I am a good borrower because I pay all my bills timely, pay my credit card balance in full and on time monthly, and have a good credit rating.  Currently my net monthly salary less all living expenses and debts allows for $1200.00 excess cash easily covering the monthly expense for repayment of this loan.  I am in good stead at my present employment of 4 years and am in good health.<br/>","WOODBURY, PA","","4 years"
"974867","Home Improvement","home_improvement","25000.00","11.71%","13.99%","60 months","20800.00","40","2011-10-17","In-Funding","2011-10-03","B3","MORTGAGE","8333.33","2.27%","750-779","1986-03-18","11","16","7846","13%","3","0","0","0","","0","","  Borrower added on 10/03/11 > I plan to use these funds to do some home improvements and give my grandson a nice gift for his wedding.  I have never been late on any payments and always pay things in full<br/>null","Manhattan, IL","","n/a"
"974941","personal loan","other","15000.00","12.69%","15.56%","36 months","9375.00","77","2011-10-17","In-Funding","2011-10-03","B5","RENT","12500.00","4.73%","679-713","2005-07-06","18","21","6135","14.6%","2","0","0","0","26","0","","  Borrower added on 10/03/11 > I need cash to finish paying my credit card bills and start up a small business opportunity<br/>","new york, NY","","4 years"
"975805","Consolidation","debt_consolidation","25000.00","19.03%","21.48%","60 months","10750.00","57","2011-10-17","In-Funding","2011-10-03","E2","RENT","4166.67","15.05%","679-713","1996-10-21","13","37","12486","67.1%","0","0","0","0","66","0","","","Dunedin, FL","","1 year"
"975843","Small Business Loan","small_business","5000.00","7.90%","9.98%","36 months","3125.00","33","2011-10-17","In-Funding","2011-10-03","A4","RENT","2200.00","4.41%","714-749","2000-03-04","4","4","2923","34.4%","0","0","0","0","","0","","","Lone Tree, CO","","5 years"
"847629","New Business Cushion","small_business","5000.00","6.03%","6.78%","36 months","2400.00","25","2011-10-17","In-Funding","2011-10-03","A1","MORTGAGE","4000.00","4.88%","780+","2001-07-16","7","22","167","1.3%","0","0","0","0","","0","","","Cumming, GA","","< 1 year"
"975815","Debt Consolidation","debt_consolidation","4800.00","7.90%","9.98%","36 months","850.00","27","2011-10-17","In-Funding","2011-10-03","A4","RENT","3000.00","8.4%","714-749","1998-12-10","7","27","8586","78.9%","1","0","0","0","","0","","  Borrower added on 10/03/11 > Consolidating debt partially incurred from starting up my own consulting business with some initial purchases of supplies, website, etc. and partially incurred through a cross-country relocation for leaving the old job and starting the new business.<br/>","spokane, WA","","1 year"
"976180","my loan","other","5000.00","7.51%","9.59%","36 months","2350.00","23","2011-10-17","In-Funding","2011-10-03","A3","RENT","3333.00","14.73%","714-749","1999-11-04","11","30","8604","61.5%","1","0","0","0","","0","","  Borrower added on 10/02/11 > Help with moving expenses<br/>nullBorrower added on 10/02/11 > Help with moving expenses","CHARLOTTESVILLE, VA","","1 year"
"976181","Biz card refinance","credit_card","28625.00","8.90%","10.99%","36 months","9325.00","15","2011-10-17","In-Funding","2011-10-03","A5","MORTGAGE","4500.00","19.42%","714-749","1981-04-13","18","35","38515","41.1%","0","0","0","0","","0","","  Borrower added on 10/03/11 > Getting rid of high credit card interest rates and lowering monthly payments.<br/>","Ritzville, WA","","10+ years"
"976284","Credit Card Refinancing","credit_card","7000.00","7.49%","9.57%","36 months","2450.00","13","2011-10-17","In-Funding","2011-10-03","A4","MORTGAGE","10000.00","20.53%","679-713","2001-05-01","14","22","53727","20.4%","0","0","0","0","","0","","  Borrower added on 09/09/11 > I have had two loans on Prosper that I paid back on time and early.  This is a short term loan.<br/>Borrower added on 09/09/11 > I have had two loans on Prosper that I paid back on time and early.  This is a short term loan.<br/>","San Francisco, CA","","< 1 year"
"973462","CAR","car","9600.00","6.62%","7.99%","36 months","3550.00","17","2011-10-17","In-Funding","2011-10-03","A2","MORTGAGE","4500.00","22.27%","750-779","1997-10-16","14","34","6398","7.3%","3","0","0","0","","0","","  Borrower added on 10/03/11 > Fund Private Party Car Purchase. Normal Bank won't loan on 2003 car.  Thanks<br/>","Kansas City, MO","","< 1 year"
"974355","Home Improvement Loan","home_improvement","30000.00","20.30%","22.78%","60 months","11300.00","44","2011-10-17","In-Funding","2011-10-03","E5","OWN","34583.00","4.72%","679-713","1994-07-04","8","20","56569","88.1%","0","0","0","0","","0","","  Borrower added on 10/03/11 > Home improvement for new home<br/>","WESTWOOD, MA","","10+ years"
"976344","home improvement","home_improvement","6000.00","7.51%","9.59%","36 months","3375.00","35","2011-10-17","In-Funding","2011-10-03","A3","MORTGAGE","4800.00","2.52%","750-779","1993-05-10","4","18","1442","8.7%","0","0","0","0","","0","","","delran, NJ","","10+ years"
"973622","Consolidation Loan","debt_consolidation","18825.00","7.90%","9.98%","36 months","6675.00","23","2011-10-17","In-Funding","2011-10-03","A4","RENT","3500.00","22.74%","714-749","1998-08-10","7","22","22121","55.4%","0","0","0","0","","0","","  Borrower added on 10/03/11 > Loan to consolidate debt of a credit card and two student loans into one monthly payment. Thanks for considering investing in our financial health!<br/>","Eugene, OR","","5 years"
"976975","IRS payoff","other","35000.00","19.91%","22.38%","60 months","9450.00","16","2011-10-18","In-Funding","2011-10-04","E4","MORTGAGE","10458.33","14.93%","679-713","1991-01-22","6","21","22828","81.2%","0","0","0","0","24","0","","","Virginia Beach, VA","","9 years"
"977007","Buy Car","credit_card","1500.00","6.03%","6.78%","36 months","475.00","13","2011-10-18","In-Funding","2011-10-04","A1","OWN","3500.00","1.43%","750-779","1992-09-13","10","18","131","10.9%","0","0","0","0","67","0","","","RICHMOND, KY","","n/a"
"977070","Small Business Loan","small_business","6200.00","14.27%","16.60%","60 months","875.00","24","2011-10-18","In-Funding","2011-10-04","C2","OWN","3500.00","2.97%","780+","1977-03-03","4","13","2875","9.7%","2","0","0","0","","0","","  Borrower added on 10/02/11 > Plan to use funds to add trucks to my company. have stedy haul contracts with big companies.I have been in trucking 25 years and never late on any payments..Strickly haul prouduce and food which never slows down<br/>","holiday, FL","","n/a"
"977063","Debt Consolidation Loan","debt_consolidation","4625.00","9.91%","12.15%","60 months","1125.00","22","2011-10-18","In-Funding","2011-10-04","B1","MORTGAGE","4166.67","28.51%","714-749","1993-01-11","16","46","15779","30.7%","0","0","0","0","","0","","  Borrower added on 10/04/11 > My job is very stable. I have been with a top Fortune 500 company who is one of a limited few to make money in this economic downturn. I am tired to lower my overall money expenses by consolidating. I have NEVER defaulted on a loan promise.<br/> Borrower added on 10/04/11 > I work for a Fortune 500 Company, very stable job. I am using this money to lower my monthly expenses overall. I have NEVER defaulted on a loan ever!<br/>","WESLEY CHAPEL, FL","","3 years"
"975902","Green Car-less stress on me+environment","car","12000.00","6.03%","6.78%","36 months","125.00","4","2011-10-18","In-Funding","2011-10-04","A1","RENT","7500.00","5.52%","750-779","1995-01-30","8","15","2459","44.7%","0","0","0","0","47","0","","","San Jose, CA","","< 1 year"
"977092","clean cards","debt_consolidation","30000.00","9.91%","12.15%","60 months","575.00","15","2011-10-18","In-Funding","2011-10-04","B1","MORTGAGE","5416.67","9.19%","750-779","1982-01-09","11","15","16366","20.5%","0","0","0","0","","0","","","Attica, NY","","n/a"
"977079","debt consolidation","debt_consolidation","35000.00","18.64%","22.39%","36 months","1925.00","29","2011-10-18","In-Funding","2011-10-04","E1","RENT","40000.00","2.24%","660-678","1987-02-12","18","25","28184","72%","0","0","0","0","33","0","","  Borrower added on 10/04/11 > I am going to pay all my dept, thank you.I have 3yrs to pay this loan and I will received it in 3days<br/>","Clinton Township, MI","","n/a"
"977053","Credit Card Consolidation","credit_card","12600.00","10.65%","13.49%","36 months","1700.00","23","2011-10-18","In-Funding","2011-10-04","B2","RENT","6166.67","15.63%","679-713","2003-10-16","6","11","12666","78.2%","0","0","0","0","","0","","","Dallas, TX","","9 years"
"976700","Chase consolidation","debt_consolidation","14825.00","6.03%","6.78%","36 months","350.00","10","2011-10-18","In-Funding","2011-10-04","A1","MORTGAGE","7218.75","13.94%","714-749","1998-10-12","9","23","15679","43.6%","0","0","0","0","","0","","  Borrower added on 10/04/11 > This loan will be used to consolidate credit card balances into one monthly payment. I have excellent credit and have been employed at my current company for over three years. Our company is very stable and growing. My living expenses are low and my monthly budget includes an ample amount to pay off my debts.<br/>","Mesa, AZ","","3 years"
"882438","Credit Card Loan","credit_card","7000.00","6.03%","6.78%","36 months","400.00","11","2011-10-18","In-Funding","2011-10-04","A1","MORTGAGE","3416.67","18.76%","750-779","2002-02-01","9","18","6104","13.1%","0","0","0","0","","0","","","Warren, MI","","4 years"
"977128","Credit Card Repayment","debt_consolidation","10900.00","15.96%","19.65%","36 months","1850.00","36","2011-10-18","In-Funding","2011-10-04","C5","RENT","2500.00","16.28%","660-678","1996-02-25","10","15","6934","55.5%","1","0","0","0","","0","","  Borrower added on 10/04/11 > As a student, I am putting myself through school. I want to consolidate my debt and pay it back quickly within the next three years.<br/>null","Raleigh, NC","","n/a"
"977157","Small Business Loan","small_business","7000.00","11.71%","14.57%","36 months","300.00","9","2011-10-18","In-Funding","2011-10-04","B3","RENT","5000.00","10.58%","679-713","2000-09-01","4","15","657","92.5%","0","0","0","0","43","0","","","La Quinta, CA","","2 years"
"977147","Debt Consolidation Loan","debt_consolidation","8000.00","16.29%","19.99%","36 months","1850.00","35","2011-10-18","In-Funding","2011-10-04","D1","RENT","10000.00","17.63%","660-678","1988-08-05","15","47","3085","23.7%","0","0","0","1","17","0","","","Saint Paul, MN","","1 year"
"977426","Consolidation Loan","debt_consolidation","12000.00","13.49%","15.81%","60 months","1100.00","30","2011-10-18","In-Funding","2011-10-04","C1","RENT","2700.00","16.22%","714-749","2002-06-23","8","15","8347","48.2%","1","0","0","0","","0","","  Borrower added on 10/04/11 > Debt Consolidation Loan<br/>null","Bakersfield, CA","","2 years"
"977465","investment loan","small_business","12000.00","9.91%","12.74%","36 months","0.00","0","2011-10-18","In-Funding","2011-10-04","B1","MORTGAGE","5833.33","18.46%","714-749","1997-11-16","10","16","8780","37.2%","2","0","0","0","","0","","","Philadelphia, PA","","8 years"
"971847","Personal","debt_consolidation","16000.00","20.89%","23.38%","60 months","0.00","0","2011-10-18","In-Funding","2011-10-04","F1","RENT","4100.00","7.63%","660-678","1994-09-29","4","9","77","1.7%","1","0","0","0","31","0","","","Las Vegas, NV","","2 years"
"969413","Debt Consolidation","debt_consolidation","12000.00","6.03%","6.78%","36 months","9850.00","120","2011-10-11","In-Funding","2011-09-27","A1","MORTGAGE","5333.33","15.64%","750-779","1998-05-08","9","25","8635","35.5%","0","0","0","0","","0","","  Borrower added on 09/27/11 > Want to pay off high interest credit card<br/>","St. Joseph, MO","","5 years"
"894457","Medical","medical","12800.00","11.71%","14.57%","36 months","9725.00","107","2011-10-12","In-Funding","2011-09-28","B3","MORTGAGE","5833.33","18.1%","679-713","1993-08-28","8","28","3843","46.3%","0","0","0","1","7","0","","","lizella, GA","","6 years"
"966970","Debt Consolidation Loan","debt_consolidation","25000.00","17.58%","19.99%","60 months","23150.00","212","2011-10-09","In-Funding","2011-09-25","D4","RENT","6750.00","21.05%","679-713","1997-12-07","18","29","25000","50.7%","0","0","0","0","","0","","  Borrower added on 09/29/11 > The purpose of this loan is to consolidate all my credit cards into one payment.  Im an excellent borrower , I pay my bills on time. As far as my job is concerned, Ive been in this field for 20 years ,I  thank God  despite of the economy , that I have a job and still working. I would like to thank the investors for funding my loan.<br/>","Irvine, CA","","< 1 year"
"970733","BMW X5 SAV ","car","8400.00","7.51%","9.59%","36 months","5700.00","55","2011-10-12","In-Funding","2011-09-28","A3","MORTGAGE","20000.00","5.72%","714-749","1980-10-10","12","28","34595","31.2%","1","0","0","1","14","0","","","Bayport, NY","","5 years"
"970884","2011 Debt Payoff","debt_consolidation","30000.00","20.30%","22.78%","60 months","15350.00","142","2011-10-13","In-Funding","2011-09-29","E5","MORTGAGE","11250.00","16.36%","679-713","1998-11-06","11","20","13823","56.7%","1","0","0","0","52","0","","  Borrower added on 09/30/11 > Needed to have a big leap forward in the &quot;snowball effect&quot; of paying off debts including clearing all credit cards, paying a student loan and paying for some home improvements<br/>","PALO ALTO, CA","","6 years"
"971536","Debt Consolidation Loan","debt_consolidation","10000.00","6.62%","7.99%","36 months","6725.00","75","2011-10-13","In-Funding","2011-09-29","A2","MORTGAGE","8333.33","9.41%","750-779","1992-01-12","14","47","17385","20%","1","0","0","0","","0","","","chepachet, RI","","10+ years"
"971782","Debt Consolidation","debt_consolidation","19200.00","19.91%","22.38%","60 months","13850.00","106","2011-10-13","In-Funding","2011-09-29","E4","RENT","4083.33","15.99%","660-678","2002-05-19","14","22","22191","70.4%","0","0","0","1","22","0","","  Borrower added on 09/29/11 > consolidating debt<br/>null Borrower added on 09/30/11 > My goal is to pay off all credit cards with this load so I have one lump sum payment.<br/>","doylestown, PA","","10+ years"
"970343","Other Loan","other","4800.00","8.90%","10.99%","36 months","2325.00","63","2011-10-13","In-Funding","2011-09-29","A5","MORTGAGE","8500.00","16.79%","714-749","1998-08-08","10","25","45450","78.2%","1","0","0","0","","0","","  Borrower added on 09/29/11 > I have never been late with any of my creditors.  Funds will be used for home &amp; landscaping remodeling/repairs.<br/>","Senoia, GA","","7 years"
"971832","F100","car","7500.00","6.03%","6.78%","36 months","4825.00","60","2011-10-14","In-Funding","2011-09-30","A1","MORTGAGE","6250.00","13.1%","780+","1995-02-26","8","26","2609","20.7%","0","0","0","0","","0","","","Virginia Beach, VA","","10+ years"
"972726","Credit Card Loan","credit_card","18000.00","7.51%","9.59%","36 months","8525.00","50","2011-10-14","In-Funding","2011-09-30","A3","MORTGAGE","9583.33","15.99%","750-779","1987-03-10","14","38","36036","54.8%","0","0","0","0","","0","","","Highland, CA","","7 years"
"972999","Free & clear","credit_card","25000.00","9.91%","12.74%","36 months","12425.00","75","2011-10-14","In-Funding","2011-09-30","B1","OWN","4500.00","20%","714-749","1987-08-07","5","14","9804","59.8%","0","0","0","0","","0","","","Walnut Creek, CA","","n/a"
"977511","Credit Consolidation","other","6000.00","15.96%","19.65%","36 months","0.00","0","2011-10-18","In-Funding","2011-10-04","C5","RENT","1775.00","10.54%","660-678","2007-08-25","13","17","5635","70%","1","0","0","0","","0","","  Borrower added on 10/03/11 > I plan on using the funds to pay off two major credit cards and two minor store credit cards. My only real expense is rent with essentially no other payments once my credit card balances are zero, leaving me just my loan and rent minus food. My source of employment as a PhD candidate is also very solid, since it is not contingent on the job market or other economic influences. I have never missed a payment on any credit card or other bill.<br/>","State College, PA","","< 1 year"
"977779","Business-Satya","small_business","35000.00","12.42%","14.71%","60 months","0.00","0","2011-10-18","In-Funding","2011-10-04","B4","OWN","20833.33","1.71%","750-779","1968-11-18","12","30","16777","1.4%","0","0","0","1","3","0","","","Los Angeles, CA","","10+ years"
"977812","Medical Bills","debt_consolidation","18000.00","17.58%","19.99%","60 months","0.00","0","2011-10-18","In-Funding","2011-10-04","D4","OWN","5416.67","22.73%","679-713","2000-03-05","13","39","20848","64.1%","3","0","0","0","","0","","","Rock Springs, WY","","6 years"
"976084","Debt Consolidation Loan","debt_consolidation","7100.00","8.90%","10.99%","36 months","0.00","0","2011-10-18","In-Funding","2011-10-04","A5","MORTGAGE","10000.00","13.57%","714-749","1990-04-27","8","17","111638","82.2%","1","0","0","0","35","0","","","Warren, RI","","< 1 year"
"977822","Debt Consolidation","debt_consolidation","17925.00","9.91%","12.74%","36 months","0.00","0","2011-10-18","In-Funding","2011-10-04","B1","RENT","4166.67","19.13%","714-749","1996-11-21","16","24","15637","64.9%","1","0","0","0","","0","","","Brooklyn, NY","","< 1 year"
"977893","Consolidation","debt_consolidation","10000.00","12.69%","15.56%","36 months","25.00","1","2011-10-18","In-Funding","2011-10-04","B5","RENT","7333.33","9.67%","679-713","1998-11-11","10","40","1148","8.2%","3","0","0","0","57","0","","","BARSTOW, CA","","10+ years"
"977872","Small but useful","home_improvement","1750.00","14.65%","16.99%","60 months","0.00","0","2011-10-18","In-Funding","2011-10-04","C3","MORTGAGE","3750.00","24.8%","679-713","2001-08-27","7","21","11644","75.1%","1","0","0","0","","0","","","Livonia, MI","","6 years"
"970784","Debt Consolidation","debt_consolidation","33000.00","18.64%","21.08%","60 months","15550.00","133","2011-10-12","In-Funding","2011-09-28","E1","RENT","5500.00","19.67%","714-749","2001-04-23","9","27","13018","49.1%","0","0","0","0","44","0","","","GREAT LAKES, IL","","10+ years"
"969661","Debt Consolidation for CC and Auto","debt_consolidation","9600.00","6.03%","6.78%","36 months","7000.00","66","2011-10-12","In-Funding","2011-09-28","A1","MORTGAGE","2333.33","15.04%","750-779","1984-09-19","6","17","4540","46.8%","0","0","0","0","74","0","","  Borrower added on 09/29/11 > I recently moved into a new home which needed unexpected repairs immediately. I had to use my credit cards. My plan was to pay them off in 6 months, but moving was more expensive than I had anticipated. By the way, I am very happy with my new home and want to keep it in good repair. However, I don't like having credit card balances and will pay the balances as soon as possible. I plan to not use any credit cards after paying them. But, I do plan on saving for whatever I need before I buy it. Sometimes, things are necessary though. I plan to pay off the majority of my auto loan. The reason I have come to you is because I like the concept and hope to be an investor in the future.  I use  a prepared budget and strive to improve in that area consistently.  Thank you for considering me.<br/>","Clearlake, CA","","n/a"
"971188","Personal debt consolidation","debt_consolidation","35000.00","18.25%","21.99%","36 months","30700.00","277","2011-10-13","In-Funding","2011-09-29","D5","MORTGAGE","10833.33","13.74%","679-713","2000-02-29","11","21","25297","62.5%","2","0","0","0","","0","","","lake in the hills, IL","","5 years"
"971649","Small Business","small_business","4000.00","7.51%","9.59%","36 months","1350.00","44","2011-10-13","In-Funding","2011-09-29","A3","OWN","3333.33","11.04%","750-779","1978-09-22","11","17","1352","3.7%","1","0","0","0","47","0","","","Ventress, LA","","< 1 year"
"971708","Small Business Loan","small_business","23000.00","12.42%","14.71%","60 months","22550.00","120","2011-10-13","In-Funding","2011-09-29","B4","MORTGAGE","3250.00","7.88%","750-779","1994-01-31","10","29","6840","24.5%","1","0","0","0","","0","","  Borrower added on 10/01/11 > My monthly expenses are as follows:<br/>monthly mortgage payment: $575<br/>monthly utilities: approximately $280<br/>Insurance (bi-annual): $300<br/>taxes (yearly): $4550<br/>I have no car payments.  All the vehicles are paid in full.<br/> Borrower added on 10/02/11 > The funds I have requested will aid in the development of a new family business; a street rod shop.  Our business is dedicated to restoring vintage cars, customizing street rods and race car construction.  We are committed to providing a full range of service options to our customers, including; paint and body work, engine and transmission rebuilding and chassis fabrication. An automotive enthusiast is passion driven, thus, the custom and performance automotive industry remains profitable, despite fluctuations in the economy.  <br/>	Currently, we have seven substantial projects scheduled.  Due to our sudden growth we feel it is time to move our business to the next level.  We are in need of equipment upgrades, a larger space, and we are ready to begin advertising nationwide. Our long term goal is to continue expansion, which would be a positive contribution to our community and it would provide local employment opportunities.<br/>","Roodhouse, IL","","10+ years"
"864379","Refinance my credit cards","debt_consolidation","21000.00","12.69%","15.56%","36 months","18500.00","194","2011-10-13","In-Funding","2011-09-29","B5","RENT","5722.17","17.84%","679-713","2000-03-01","7","17","47687","79.7%","0","0","0","0","","0","","  Borrower added on 09/30/11 > I've been on a stable job for over 7 years.<br/>I'm responsible and always pay my bills on time.<br/>I used lines of credit &amp; credit cards to fund my education &amp; trainings, and now need a more consistent way of paying it back.<br/>The funds will be used to pay off a few credit cards with high interest rates and consolidate the accounts.<br/>","Dorchester, MA","","7 years"
"966311","Credit Card Loan","credit_card","12000.00","8.90%","10.99%","36 months","8850.00","99","2011-10-14","In-Funding","2011-09-30","A5","RENT","6733.33","20.91%","714-749","1986-05-09","16","26","18252","55.5%","0","0","0","0","","0","","  Borrower added on 09/30/11 > I traveled earlier this year to look for a job after graduating my orthopaedic residency.  I would like to pay back the money for that trip on my credit card with a lower interest rate.<br/>null","New York, NY","","6 years"
"971844","barn fix","home_improvement","7800.00","6.62%","7.99%","36 months","5050.00","70","2011-10-14","In-Funding","2011-09-30","A2","MORTGAGE","4166.67","4.46%","780+","2000-07-29","5","11","18272","69.7%","1","0","0","0","","0","","  Borrower added on 10/03/11 > We are building a barn for a horse business<br/>null","williamstown, NY","","6 years"
